,Precision,Accuracy,Recall,F1 Score,AUC
Logistic Regression,0.20689655172413793,0.6322916666666667,0.5909090909090909,0.30648330058939094,0.6625219587176109
Kernel SVM,0.226890756302521,0.7270833333333333,0.4090909090909091,0.2918918918918919,0.6368943053725662
Decision Tree,0.19889502762430938,0.7489583333333333,0.2727272727272727,0.23003194888178913,0.5488032498902063
Random Forest,0.29411764705882354,0.8260416666666667,0.1893939393939394,0.2304147465437788,0.6390215561411213
Naïve Bayes,0.21929824561403508,0.6625,0.5681818181818182,0.31645569620253167,0.668917435221783
XGBoost,0.29411764705882354,0.840625,0.11363636363636363,0.16393442622950818,0.6481847460108329
NGBoost,0.2153846153846154,0.746875,0.3181818181818182,0.25688073394495414,0.6289662933684673
LightGBM,0.32,0.84375,0.12121212121212122,0.17582417582417584,0.657791684965598
CatBoost,0.2391304347826087,0.8375,0.08333333333333333,0.12359550561797752,0.6436649099692578
